frame,Hips_x,Hips_y,Hips_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,Spine_x,Spine_y,Spine_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,Spine1_x,Spine1_y,Spine1_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,RightFoot_x,RightFoot_y,RightFoot_z,Spine2_x,Spine2_y,Spine2_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightToeBase_x,RightToeBase_y,RightToeBase_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,Neck_x,Neck_y,Neck_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,Head_x,Head_y,Head_z,RightArm_x,RightArm_y,RightArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,RightHand_x,RightHand_y,RightHand_z,LeftHandIndex1_x,LeftHandIndex1_y,LeftHandIndex1_z,LeftHandMiddle1_x,LeftHandMiddle1_y,LeftHandMiddle1_z,LeftHandPinky1_x,LeftHandPinky1_y,LeftHandPinky1_z,LeftHandRing1_x,LeftHandRing1_y,LeftHandRing1_z,LeftHandThumb1_x,LeftHandThumb1_y,LeftHandThumb1_z,RightHandIndex1_x,RightHandIndex1_y,RightHandIndex1_z,RightHandMiddle1_x,RightHandMiddle1_y,RightHandMiddle1_z,RightHandPinky1_x,RightHandPinky1_y,RightHandPinky1_z,RightHandRing1_x,RightHandRing1_y,RightHandRing1_z,RightHandThumb1_x,RightHandThumb1_y,RightHandThumb1_z,LeftHandIndex2_x,LeftHandIndex2_y,LeftHandIndex2_z,LeftHandMiddle2_x,LeftHandMiddle2_y,LeftHandMiddle2_z,LeftHandPinky2_x,LeftHandPinky2_y,LeftHandPinky2_z,LeftHandRing2_x,LeftHandRing2_y,LeftHandRing2_z,LeftHandThumb2_x,LeftHandThumb2_y,LeftHandThumb2_z,RightHandIndex2_x,RightHandIndex2_y,RightHandIndex2_z,RightHandMiddle2_x,RightHandMiddle2_y,RightHandMiddle2_z,RightHandPinky2_x,RightHandPinky2_y,RightHandPinky2_z,RightHandRing2_x,RightHandRing2_y,RightHandRing2_z,RightHandThumb2_x,RightHandThumb2_y,RightHandThumb2_z,LeftHandIndex3_x,LeftHandIndex3_y,LeftHandIndex3_z,LeftHandMiddle3_x,LeftHandMiddle3_y,LeftHandMiddle3_z,LeftHandPinky3_x,LeftHandPinky3_y,LeftHandPinky3_z,LeftHandRing3_x,LeftHandRing3_y,LeftHandRing3_z,LeftHandThumb3_x,LeftHandThumb3_y,LeftHandThumb3_z,RightHandIndex3_x,RightHandIndex3_y,RightHandIndex3_z,RightHandMiddle3_x,RightHandMiddle3_y,RightHandMiddle3_z,RightHandPinky3_x,RightHandPinky3_y,RightHandPinky3_z,RightHandRing3_x,RightHandRing3_y,RightHandRing3_z,RightHandThumb3_x,RightHandThumb3_y,RightHandThumb3_z
96,0.08102626,0.9590806,0.06046735,-0.004251942,0.9064957,0.02156185,0.1346475,0.8766254,0.1037922,0.1143854,1.052651,0.03810873,-0.2282444,0.5338089,0.1099592,0.1118127,0.4552404,0.2408903,0.1486645,1.145667,0.02475226,-0.3233034,0.1029222,0.05018131,0.2154548,0.08731633,0.01249876,0.1833344,1.231668,0.01516189,-0.3723938,-2.408028E-05,0.1281736,0.2072694,3.296137E-05,0.1192938,0.190518,1.349051,-0.01412741,0.2498865,1.386421,0.007023029,0.2695312,1.316794,0.01860099,0.09524779,1.387763,-0.04834088,0.2680758,1.474425,0.04521693,0.3669612,1.280609,0.04933605,0.01730309,1.366562,0.2180989,0.3190339,1.250533,0.321941,0.05224286,1.379643,0.4989198,0.1638423,1.347557,0.5381682,0.08163346,1.364608,0.586929,0.05980614,1.370577,0.5935198,0.02048049,1.369181,0.5818609,0.04088257,1.371566,0.5908055,0.07990736,1.36018,0.5196955,0.09796941,1.377361,0.5982189,0.1153577,1.378795,0.6140649,0.1508103,1.361578,0.6255141,0.1319839,1.373091,0.6216466,0.1246689,1.346742,0.5444362,0.07461117,1.329178,0.5789053,0.05278432,1.335144,0.5855063,0.01115109,1.335236,0.5743301,0.03490405,1.341403,0.5839746,0.07974866,1.334887,0.5530637,0.09278269,1.340749,0.5995207,0.110171,1.342183,0.6153666,0.1457638,1.325956,0.6267807,0.1272469,1.339653,0.6228354,0.09808083,1.330106,0.5722041,0.07395326,1.339939,0.5525231,0.05210333,1.346283,0.5581984,0.01066628,1.343165,0.5548906,0.03422308,1.352541,0.5566666,0.04942562,1.33164,0.5685073,0.1090759,1.344097,0.576378,0.1270358,1.345649,0.5914124,0.1577694,1.328423,0.6097283,0.143767,1.343048,0.5993708,0.1040974,1.330566,0.6058297
97,0.07923839,0.9452826,0.06630276,-0.008464396,0.8935557,0.03189729,0.1324959,0.8629198,0.1102475,0.1138553,1.037368,0.04003025,-0.2393921,0.5267562,0.1268323,0.1169066,0.4450384,0.2586212,0.1487534,1.13005,0.02597968,-0.320539,0.09668553,0.04481126,0.2155097,0.08730185,0.01250191,0.1839299,1.215798,0.01597305,-0.3729927,-1.364946E-05,0.1284082,0.2072383,1.448393E-05,0.1192871,0.1920127,1.332886,-0.01424578,0.2511861,1.370228,0.007493608,0.2703846,1.300636,0.01999653,0.09714835,1.371656,-0.04950538,0.268766,1.458348,0.04570286,0.3665709,1.265788,0.055779,-0.004768059,1.361797,0.2093979,0.2823295,1.262453,0.3211228,0.02192293,1.387927,0.4902129,0.1202672,1.349566,0.5365283,0.04331062,1.372645,0.5804601,0.02150623,1.380215,0.5852336,-0.01680272,1.381272,0.5705472,0.002963483,1.382437,0.5810298,0.04648151,1.367034,0.5133677,0.05389101,1.378296,0.5965479,0.07122575,1.379892,0.6124371,0.106871,1.363086,0.6238983,0.08790735,1.374372,0.6200334,0.08109424,1.348227,0.5427078,0.03448708,1.337626,0.5724126,0.01268228,1.345193,0.5771962,-0.02785566,1.347901,0.5627888,-0.004548378,1.352623,0.5741785,0.04198984,1.342467,0.5469751,0.04916985,1.341617,0.5976993,0.06650458,1.343212,0.6135886,0.1022775,1.327397,0.6250186,0.08359539,1.340872,0.6210852,0.05466182,1.331146,0.5703543,0.03661814,1.34789,0.5459102,0.01488819,1.355816,0.5497641,-0.02628546,1.355464,0.5432609,-0.002342567,1.363246,0.5467463,0.010412,1.341594,0.5600373,0.06546829,1.345261,0.5746055,0.08337485,1.346984,0.5896843,0.1142868,1.330083,0.6080019,0.1001208,1.344567,0.5976695,0.0606003,1.331554,0.6039944
98,0.07676256,0.9350187,0.07002888,-0.01235831,0.884018,0.0382863,0.1296881,0.8526431,0.1143492,0.1121813,1.026109,0.04145905,-0.2472553,0.5212783,0.1389112,0.1241998,0.4377729,0.2716239,0.1479829,1.118288,0.02640242,-0.3187184,0.09264284,0.04176421,0.2153509,0.08730292,0.01252014,0.183874,1.203705,0.01611105,-0.3733148,6.854534E-06,0.1285306,0.2072617,1.436472E-05,0.1193184,0.1931888,1.320583,-0.01456221,0.2520447,1.357768,0.008280821,0.2706257,1.288158,0.02158825,0.09920369,1.359568,-0.05187988,0.2692085,1.445933,0.04657606,0.3655807,1.253707,0.06087264,-0.03050109,1.353398,0.1943997,0.2538502,1.267216,0.3155269,-0.00724265,1.388824,0.4745003,0.083501,1.350275,0.5260847,0.008088194,1.374452,0.5661187,-0.0136784,1.382864,0.5694301,-0.05096667,1.384991,0.5524173,-0.0318412,1.385655,0.5640669,0.01510419,1.367511,0.4994437,0.01516519,1.378469,0.5841277,0.0320631,1.380498,0.6004326,0.06767438,1.36439,0.6129526,0.04863403,1.375326,0.6085007,0.04421061,1.348349,0.5312871,-0.001486778,1.339621,0.5581111,-0.02325451,1.348031,0.5614329,-0.06272401,1.35189,0.5445361,-0.03999293,1.356002,0.5572498,0.007708818,1.343732,0.533105,0.01101281,1.341728,0.5855182,0.02791058,1.343758,0.6018232,0.06363408,1.328643,0.6143057,0.04484148,1.34177,0.6097708,0.01736614,1.331094,0.5584242,0.002609804,1.349319,0.5316271,-0.01901405,1.358069,0.5340193,-0.05970544,1.359037,0.5250214,-0.03575253,1.36604,0.5298363,-0.02461158,1.344201,0.5442274,0.02783065,1.345425,0.562808,0.0453185,1.347584,0.5783163,0.0760262,1.331367,0.5975719,0.06189342,1.345518,0.5867445,0.02244186,1.331915,0.5921977
99,0.0744513,0.9296812,0.07214832,-0.0153403,0.8791456,0.04157363,0.1270869,0.8472446,0.1166998,0.1103568,1.020246,0.04253476,-0.2524848,0.5190419,0.1463105,0.1288397,0.434004,0.2782916,0.1471225,1.111865,0.026419,-0.3179376,0.09136862,0.0410279,0.2151284,0.08731854,0.01251736,0.1837234,1.196941,0.01580806,-0.3734525,2.670288E-05,0.1285799,0.207239,3.182888E-05,0.1193321,0.1941344,1.313631,-0.0152286,0.2526882,1.35068,0.008589618,0.2707089,1.281058,0.02258825,0.1010771,1.352738,-0.05468144,0.2696273,1.438895,0.04687071,0.3648358,1.246509,0.06373564,-0.05206636,1.345615,0.1777221,0.236574,1.267422,0.3099603,-0.03002532,1.386583,0.4571645,0.05772863,1.350832,0.5132077,-0.01858848,1.373459,0.5495357,-0.04039502,1.382104,0.551827,-0.07693495,1.384292,0.5332681,-0.05829699,1.384969,0.5456823,-0.008912675,1.365459,0.4833142,-0.01312634,1.378655,0.5683349,0.003129654,1.38118,0.5852132,0.03851404,1.365832,0.5992398,0.01947577,1.37639,0.5939486,0.01831043,1.348324,0.5170061,-0.02814396,1.338594,0.5416532,-0.04995201,1.347237,0.5439545,-0.08866011,1.351177,0.5253966,-0.066432,1.355286,0.5389713,-0.01789543,1.342252,0.5169879,-0.01673594,1.341873,0.5700823,-0.0004798993,1.344398,0.5869604,0.03500207,1.330044,0.6009399,0.01617914,1.342797,0.5955444,-0.009226866,1.330988,0.5433865,-0.02287871,1.347859,0.5152203,-0.04450197,1.356827,0.5165942,-0.08478045,1.358004,0.5059198,-0.06098211,1.364876,0.5116111,-0.05063847,1.343161,0.5267658,0.000838846,1.345546,0.5479487,0.01771146,1.3482,0.5640504,0.04795177,1.33275,0.5846311,0.03399855,1.346521,0.5731027,-0.005402327,1.33234,0.5773075
100,0.07015458,0.9267036,0.07471835,-0.02034132,0.8769006,0.04503106,0.1224832,0.8438776,0.1189077,0.1065655,1.016917,0.04465175,-0.2601492,0.5203726,0.1557651,0.1313962,0.4314954,0.2824444,0.1455143,1.107239,0.02647946,-0.3182347,0.09350139,0.04315912,0.2148634,0.08731568,0.01254406,0.1835701,1.191587,0.01519217,-0.3735272,1.430511E-05,0.1285609,0.2072413,2.95043E-05,0.1193785,0.1957217,1.307992,-0.01627785,0.2538406,1.344777,0.008971848,0.2709414,1.275122,0.02392557,0.1044026,1.347154,-0.05955259,0.2707865,1.43296,0.04732349,0.3643464,1.239718,0.06598061,-0.08970516,1.330688,0.1393595,0.2174698,1.25954,0.3016697,-0.06587424,1.377689,0.4177034,0.01996782,1.349777,0.4836111,-0.05945396,1.366934,0.5108624,-0.08146592,1.375314,0.5117238,-0.1169354,1.376532,0.4911128,-0.09903192,1.377773,0.5045242,-0.04598332,1.3575,0.4454983,-0.05653382,1.376955,0.5309651,-0.04201917,1.380486,0.5491961,-0.007688001,1.36668,0.5669486,-0.02643807,1.376473,0.5595676,-0.0195445,1.346138,0.4837947,-0.06809575,1.331757,0.5033196,-0.09010968,1.340136,0.504191,-0.1277668,1.343073,0.4834172,-0.1063891,1.347825,0.4981025,-0.05653178,1.334973,0.4791802,-0.05923557,1.340145,0.5335506,-0.04472098,1.343676,0.5517814,-0.01031675,1.330865,0.5694641,-0.02890567,1.342853,0.5619289,-0.04893602,1.328723,0.5080357,-0.06148126,1.340464,0.477001,-0.08326303,1.349149,0.4769488,-0.1228931,1.34949,0.4640245,-0.09954255,1.356838,0.4708604,-0.08977973,1.335643,0.487096,-0.03976649,1.34372,0.5130462,-0.02456883,1.347376,0.5305577,0.004028842,1.333499,0.5543557,-0.009165563,1.346478,0.5411391,-0.0483643,1.33119,0.5421043
101,0.06681548,0.9302452,0.07599242,-0.02407795,0.8809831,0.04661867,0.1194558,0.8467655,0.1185516,0.1030717,1.020779,0.04671403,-0.2639834,0.5254101,0.1601761,0.1291877,0.433338,0.27938,0.1437341,1.11011,0.02742805,-0.3201457,0.09835535,0.04729129,0.2148679,0.08731645,0.01254572,0.1827705,1.193971,0.01586408,-0.3733789,1.233816E-05,0.1284423,0.2072553,2.944469E-05,0.1193803,0.195503,1.310411,-0.01524521,0.2535357,1.346967,0.01053006,0.2703177,1.277228,0.02545334,0.105103,1.349426,-0.06053624,0.2708713,1.434824,0.04945084,0.3640622,1.240852,0.06589336,-0.1160084,1.320589,0.1061767,0.2117259,1.245831,0.2988824,-0.08510102,1.367927,0.3837666,-0.001199663,1.344401,0.4576241,-0.08074452,1.358042,0.477141,-0.1029048,1.366064,0.4774048,-0.1378845,1.366526,0.4559433,-0.1203308,1.368172,0.469767,-0.06555592,1.348298,0.4122005,-0.08188194,1.371479,0.4975083,-0.06906058,1.375615,0.5168478,-0.03623901,1.362699,0.5378312,-0.0543952,1.372055,0.5286248,-0.04052809,1.340192,0.4544517,-0.0886267,1.322666,0.4696959,-0.1107892,1.330687,0.4699697,-0.1479797,1.332831,0.4482785,-0.1270412,1.338055,0.4634285,-0.07654057,1.325876,0.4458128,-0.08433345,1.334698,0.5006885,-0.07151209,1.338834,0.5200279,-0.03862429,1.326912,0.5409254,-0.05663426,1.338462,0.5315292,-0.0717015,1.322878,0.4764342,-0.08152536,1.331267,0.4434689,-0.1034387,1.339589,0.4428224,-0.1427472,1.339168,0.4289533,-0.1196907,1.346958,0.4362814,-0.1099755,1.32606,0.4529267,-0.06319492,1.338112,0.48188,-0.04963208,1.342368,0.5005595,-0.02304865,1.329427,0.5270665,-0.03520142,1.341924,0.5124589,-0.0741383,1.32609,0.510358
102,0.06322103,0.9385291,0.07643647,-0.02797119,0.8896962,0.04727271,0.1168422,0.8541734,0.1159336,0.09867743,1.029937,0.04894695,-0.2652471,0.5326365,0.1616865,0.1272063,0.4387582,0.2715149,0.1407121,1.118539,0.02924661,-0.3234327,0.1047815,0.05293195,0.2149389,0.08731717,0.01254626,0.1803403,1.202144,0.01784432,-0.3728829,7.688999E-06,0.1282161,0.2072667,3.111362E-05,0.1193774,0.1927154,1.318943,-0.01203664,0.2508285,1.355307,0.01382849,0.2678039,1.285435,0.02788399,0.1027152,1.357437,-0.05855288,0.268704,1.44251,0.05395997,0.362563,1.248149,0.06499264,-0.1407344,1.313275,0.06910682,0.2115188,1.225682,0.2977929,-0.09607986,1.356407,0.3455085,-0.01657931,1.333499,0.4266306,-0.09253717,1.346108,0.4388724,-0.1147472,1.353995,0.4389659,-0.1495267,1.354348,0.4171793,-0.1321134,1.356035,0.4311747,-0.07668296,1.336762,0.3740324,-0.1007177,1.361342,0.4579208,-0.08985741,1.365755,0.478368,-0.05931471,1.353106,0.5026896,-0.07644019,1.362351,0.4915909,-0.05541532,1.329313,0.4196488,-0.1001347,1.310721,0.4311886,-0.1223471,1.318607,0.4312919,-0.1593454,1.32063,0.409263,-0.1385816,1.325908,0.4246331,-0.08784539,1.314116,0.4074352,-0.1035954,1.324619,0.4614051,-0.09273506,1.329031,0.4818521,-0.06211465,1.317375,0.5060796,-0.07906843,1.328811,0.4947728,-0.08866733,1.312401,0.4387025,-0.09284062,1.319488,0.4050699,-0.1147971,1.327681,0.4042567,-0.1539708,1.327089,0.3900176,-0.1310316,1.334983,0.397598,-0.1213459,1.314065,0.4142359,-0.08068972,1.327701,0.4447294,-0.06902558,1.332222,0.4645913,-0.04523673,1.319647,0.4937924,-0.05584371,1.331937,0.4778651,-0.09443525,1.316144,0.4721659
103,0.05963317,0.9492766,0.07592101,-0.03173487,0.9006344,0.04698987,0.1147985,0.8641099,0.1113407,0.09371604,1.041904,0.05088513,-0.2636543,0.5396119,0.159942,0.1286803,0.446633,0.2610176,0.1363209,1.130276,0.03137778,-0.3272597,0.1107468,0.05844359,0.2148602,0.08731419,0.01255107,0.17594,1.213953,0.02048823,-0.372003,7.629395E-06,0.1279092,0.2072543,2.843142E-05,0.119387,0.1871256,1.331327,-0.007556103,0.2453969,1.36762,0.01805066,0.2630224,1.29763,0.03063964,0.09700287,1.368752,-0.05470313,0.263821,1.453987,0.05971305,0.3591193,1.259746,0.06345421,-0.1610822,1.309291,0.03115427,0.2163038,1.202812,0.295569,-0.09748872,1.344332,0.3049796,-0.02370869,1.318337,0.3920075,-0.09371766,1.332441,0.3981454,-0.1158601,1.340511,0.3984486,-0.1507087,1.341519,0.3767934,-0.1332347,1.342826,0.3907538,-0.07816155,1.324051,0.3331027,-0.1099262,1.347915,0.4149257,-0.1010276,1.352157,0.4363345,-0.07326373,1.338958,0.4635254,-0.08903589,1.348517,0.4508049,-0.06175356,1.314907,0.3812684,-0.1016385,1.297253,0.3898977,-0.1237833,1.305321,0.3902109,-0.1608374,1.308022,0.3683491,-0.1399781,1.312868,0.3837321,-0.08940139,1.300943,0.3661614,-0.1138636,1.311264,0.4181222,-0.104965,1.315506,0.439531,-0.07709479,1.303298,0.4666356,-0.09263197,1.315043,0.4537244,-0.09703787,1.298701,0.396989,-0.09435921,1.306394,0.3639038,-0.1162485,1.314784,0.3633048,-0.1554736,1.314758,0.3491956,-0.1324434,1.322331,0.3568261,-0.122878,1.301058,0.373078,-0.08938252,1.313854,0.4037619,-0.07962485,1.318186,0.4246667,-0.05905604,1.305206,0.4560541,-0.06780998,1.317669,0.439164,-0.1059688,1.302633,0.4297285
104,0.05572078,0.9615446,0.07469781,-0.03575721,0.9128184,0.04625985,0.1131018,0.8757626,0.1046978,0.08773927,1.055701,0.05284261,-0.2592745,0.5453398,0.1552621,0.1337078,0.4563956,0.2481883,0.1297715,1.144457,0.03384277,-0.3318512,0.1157588,0.06325217,0.2145511,0.0873149,0.01256894,0.1685908,1.228598,0.02367155,-0.3714199,3.576279E-06,0.1274828,0.2072462,2.759695E-05,0.1194246,0.1777111,1.346693,-0.001991265,0.2361449,1.383129,0.02303613,0.2548943,1.313101,0.0336321,0.08697583,1.382066,-0.04954632,0.2551305,1.46855,0.066363,0.3525646,1.274832,0.06088293,-0.1778876,1.305255,-0.01130329,0.2274592,1.177041,0.2895761,-0.09025137,1.329537,0.2569923,-0.02115534,1.298224,0.3508756,-0.08524463,1.314826,0.3496962,-0.1073021,1.323085,0.350567,-0.1424495,1.32506,0.3294688,-0.1247634,1.325788,0.3432022,-0.07071386,1.308246,0.2842094,-0.108238,1.330357,0.3656313,-0.1014167,1.33391,0.3879104,-0.07699063,1.319281,0.4174697,-0.09107512,1.329602,0.4034328,-0.05801053,1.296303,0.336298,-0.09362078,1.279974,0.3405204,-0.1156804,1.288231,0.3414012,-0.1530199,1.291924,0.3201794,-0.1318944,1.296117,0.3353906,-0.08169407,1.284262,0.3167265,-0.1136717,1.293813,0.367644,-0.1068505,1.297366,0.389923,-0.08227754,1.283725,0.4194279,-0.09603792,1.296227,0.405271,-0.09521371,1.281051,0.3480487,-0.08663169,1.289824,0.3147059,-0.1084461,1.298427,0.314681,-0.1478701,1.299182,0.3011582,-0.1246601,1.306313,0.3086703,-0.1150643,1.284475,0.3241372,-0.0877924,1.295808,0.3558741,-0.08006306,1.299431,0.3777401,-0.06320857,1.285195,0.4107554,-0.0697982,1.298249,0.3933371,-0.107277,1.284711,0.3798005
105,0.0531273,0.9691185,0.07350457,-0.03835069,0.9201345,0.0455129,0.1123044,0.8831619,0.09920833,0.08339955,1.064398,0.05417504,-0.2551516,0.5477327,0.1513261,0.1376937,0.4628831,0.2392217,0.1241408,1.153872,0.03573985,-0.3351692,0.1182321,0.06530633,0.2142588,0.08732307,0.01258311,0.1618127,1.238613,0.02625662,-0.3712108,2.193451E-05,0.1270956,0.2072496,3.504753E-05,0.1194579,0.1690161,1.357249,0.00255587,0.2274348,1.393973,0.02719546,0.2472325,1.324011,0.03620255,0.07766911,1.39053,-0.04533731,0.2466156,1.478753,0.07167976,0.345937,1.285556,0.05912159,-0.1855648,1.300023,-0.03972784,0.2385879,1.159428,0.2829134,-0.08178183,1.317885,0.2232594,-0.01354072,1.282506,0.3220937,-0.07536917,1.300471,0.3154067,-0.09748719,1.30849,0.3168204,-0.1329374,1.310756,0.296265,-0.1150719,1.311244,0.3097751,-0.06167878,1.295982,0.2495634,-0.1006381,1.316338,0.3322443,-0.09518274,1.319086,0.3550082,-0.07304456,1.303025,0.3856077,-0.08596011,1.314086,0.37102,-0.04941764,1.281908,0.305153,-0.08355143,1.265829,0.3053076,-0.1056715,1.273846,0.3067311,-0.1433309,1.277812,0.286133,-0.1220379,1.281752,0.3011771,-0.07199209,1.270937,0.2814942,-0.1070193,1.279897,0.3328105,-0.101564,1.282645,0.3555744,-0.07925325,1.267569,0.3861585,-0.09178821,1.280803,0.3715373,-0.08763578,1.267248,0.3140536,-0.07700758,1.276509,0.2797073,-0.09889802,1.2849,0.2802325,-0.1385091,1.285681,0.2672696,-0.1152645,1.292806,0.2746786,-0.1052581,1.270611,0.289356,-0.08039879,1.281589,0.3227737,-0.07400943,1.284396,0.3451854,-0.05963819,1.268816,0.378763,-0.06479702,1.282519,0.3613607,-0.1016271,1.270297,0.3450703
106,0.04858463,0.978837,0.06994293,-0.04264092,0.9291151,0.0424325,0.1113032,0.8931759,0.08666724,0.07521065,1.076176,0.05636574,-0.2468148,0.5486683,0.1446832,0.1430578,0.4725876,0.2244346,0.1117071,1.167927,0.04039174,-0.3412547,0.1207253,0.06582307,0.2137411,0.08734083,0.01262946,0.1459665,1.254356,0.03358129,-0.3707844,2.890825E-05,0.1262465,0.2072805,5.418062E-05,0.1195398,0.1486491,1.374124,0.01523403,0.2064686,1.41165,0.04007854,0.2287787,1.342062,0.045333,0.05631445,1.402466,-0.03392526,0.2250931,1.494957,0.08748505,0.328993,1.303308,0.0595387,-0.1899495,1.283407,-0.08582964,0.2636119,1.127747,0.2654969,-0.0633209,1.295958,0.167271,0.008748833,1.251214,0.2727818,-0.05304446,1.271719,0.257506,-0.07567103,1.27781,0.2600434,-0.1117419,1.2789,0.2404965,-0.0936035,1.279716,0.2536218,-0.0408625,1.27367,0.1912434,-0.07792345,1.287253,0.2775475,-0.07473783,1.287633,0.3008974,-0.05630005,1.267925,0.3318167,-0.0673407,1.280797,0.3171759,-0.02521901,1.253589,0.252409,-0.05878726,1.237466,0.2447493,-0.08141539,1.243554,0.2472963,-0.1198211,1.246161,0.2278942,-0.09849263,1.250555,0.2427614,-0.04831847,1.245385,0.2212023,-0.08537131,1.251192,0.2739238,-0.08218569,1.251572,0.2972736,-0.06354664,1.232838,0.3282908,-0.07414301,1.247861,0.3138663,-0.06454936,1.239632,0.2560253,-0.05379868,1.250666,0.2199885,-0.07625172,1.257218,0.2216668,-0.1161452,1.255888,0.2096494,-0.09332905,1.264219,0.2171317,-0.08122996,1.241777,0.2297083,-0.05782977,1.2528,0.2667737,-0.05367775,1.253237,0.2898726,-0.04325283,1.234023,0.3230225,-0.0462179,1.249492,0.3066167,-0.08153305,1.24028,0.2856601
107,0.0447216,0.980969,0.06475797,-0.0461913,0.9308093,0.03700832,0.1100398,0.8960681,0.07350489,0.06849547,1.07967,0.05694411,-0.2412667,0.5464749,0.142435,0.1446824,0.4773622,0.2162211,0.1004776,1.173748,0.04546243,-0.3463697,0.121086,0.0632477,0.2134078,0.08734119,0.01266984,0.1311743,1.261744,0.04329881,-0.3706094,0.0001001954,0.1254201,0.207306,5.620718E-05,0.1196029,0.1296498,1.382429,0.03230539,0.1863891,1.420326,0.05900641,0.211081,1.351352,0.05983531,0.03722715,1.406998,-0.01868472,0.2036136,1.501466,0.1105237,0.3120097,1.312427,0.06653119,-0.1841234,1.268107,-0.1147488,0.2840837,1.10224,0.2469655,-0.04944517,1.280284,0.1341806,0.02921296,1.225824,0.2424776,-0.03432395,1.249155,0.2215749,-0.0574801,1.252047,0.2248816,-0.09379914,1.25037,0.2058421,-0.07563934,1.252249,0.218828,-0.02386425,1.25888,0.1557043,-0.05720035,1.262561,0.2465651,-0.05540287,1.260076,0.2699338,-0.03904467,1.23647,0.2992517,-0.04905867,1.251202,0.2856646,-0.00345806,1.231233,0.2206179,-0.03596871,1.215805,0.2056342,-0.0591258,1.218693,0.2089501,-0.09794856,1.218203,0.1902207,-0.07703959,1.223857,0.2052568,-0.02707272,1.227178,0.1828681,-0.06480389,1.227335,0.2381801,-0.06300645,1.22485,0.2615488,-0.04644268,1.202196,0.2910933,-0.05600312,1.219029,0.2780063,-0.04308022,1.217643,0.2202445,-0.03319872,1.231809,0.1822151,-0.05625858,1.235259,0.1847094,-0.09590752,1.229995,0.1729645,-0.07417243,1.240423,0.1810159,-0.05908346,1.218621,0.1912717,-0.03687072,1.229302,0.2328772,-0.03409316,1.226886,0.2560598,-0.02586036,1.203645,0.2871858,-0.02768103,1.221024,0.2726296,-0.06178571,1.215026,0.2487111
108,0.04003193,0.975935,0.0561457,-0.05059495,0.924799,0.02925572,0.1081236,0.8927806,0.05628109,0.06053988,1.075646,0.0538382,-0.2359803,0.5393181,0.1472336,0.1454475,0.4792353,0.2127097,0.08677529,1.172073,0.04949373,-0.3521568,0.1190023,0.057175,0.2127501,0.08712965,0.01271943,0.1127915,1.261441,0.05465502,-0.3703188,-0.0004315376,0.1242295,0.2070825,-0.0001615286,0.1196713,0.1055974,1.382422,0.05481618,0.1607169,1.420323,0.08471319,0.1885824,1.352796,0.07911578,0.01340559,1.403689,0.001957931,0.1758167,1.497851,0.1421216,0.2902154,1.315223,0.07674947,-0.176249,1.252899,-0.1351867,0.3019885,1.075821,0.2183939,-0.04094674,1.263419,0.1134797,0.04755154,1.200372,0.2173251,-0.01770736,1.226274,0.1966406,-0.04088853,1.224365,0.2004475,-0.07680451,1.217972,0.1816441,-0.05893783,1.221803,0.1946076,-0.01119763,1.244988,0.1322173,-0.03883013,1.236639,0.2248447,-0.03764489,1.230578,0.2475906,-0.02211988,1.202635,0.2733296,-0.03173576,1.219349,0.2619233,0.0154728,1.209302,0.1957445,-0.01357423,1.195174,0.1770271,-0.03675522,1.193259,0.1808426,-0.07534193,1.187518,0.162503,-0.05541907,1.195326,0.1779095,-0.007632628,1.210457,0.1556279,-0.04631784,1.203173,0.2109527,-0.04513265,1.197113,0.2336986,-0.0294052,1.170074,0.259813,-0.03857441,1.188784,0.2492354,-0.02416623,1.196203,0.1922905,-0.01453136,1.213892,0.1555564,-0.03774595,1.212633,0.1586186,-0.0760472,1.20131,0.1466826,-0.05640983,1.2147,0.1556855,-0.03722294,1.195142,0.1632709,-0.01825122,1.205739,0.2067182,-0.01608124,1.199769,0.2293156,-0.008724548,1.171964,0.2566929,-0.01011698,1.191386,0.2449421,-0.04360924,1.189371,0.2195372
